id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
317905,Come and go as  you please in BKLN!,Brooklyn,Kensington,40.64354,-73.97777,Entire home/apt,89,3,62,0.71,189
34205267,"Spacious, sunny room in Queens/Brooklyn",Queens,Ridgewood,40.70666,-73.90779,Private room,30,21,0,0.0,73
12342297,Private bedroom in high-ceiling 4BR apartment!,Manhattan,Hell's Kitchen,40.76116,-73.99016,Private room,120,2,17,0.43,0
33527778,Sonder | Stock Exchange | Stunning 3BR + Kitchen,Manhattan,Financial District,40.70763,-74.0105,Entire home/apt,470,2,5,1.88,272
13136376,Spacious 2 Bedroom with Balcony,Manhattan,East Harlem,40.79658,-73.93287,Entire home/apt,199,2,30,0.8,30
4365276,Entire 2BR APT (not a railroad),Brooklyn,Williamsburg,40.70698,-73.95406,Entire home/apt,170,1,141,3.05,28
22968206,1br in spacious 2 br in the heart of Williamsburg,Brooklyn,Williamsburg,40.71246,-73.96133,Private room,90,5,1,0.06,0
32472023,comfortable Place to live,Queens,College Point,40.76813,-73.84542,Entire home/apt,60,30,0,0.0,121
8609130,Great Nolita Apartment!,Manhattan,SoHo,40.72214,-73.99793,Entire home/apt,150,2,89,1.94,55
24806106,“Studio” ideally located  across Golf Course,Bronx,Throgs Neck,40.81437,-73.82774,Entire home/apt,74,2,37,2.63,70
34112635,CRASH PAD near LGA JFK,Queens,Jackson Heights,40.75078,-73.87949,Shared room,28,1,4,2.11,354
24746319,Amazing room for Memorial day weekend only!,Queens,Maspeth,40.71319,-73.90315,Private room,200,2,0,0.0,365
4386513,"2 Bedroom Duplex, INCREDIBLE views! 30day discount",Manhattan,East Village,40.72478,-73.97771,Entire home/apt,230,3,12,0.21,4
9935949,Spacious Room in Great Neighborhood,Brooklyn,Clinton Hill,40.69353,-73.96784,Private room,48,1,2,0.05,0
19808524,Cozy one bedroom apt in artsy Brooklyn Brownstone,Brooklyn,Fort Greene,40.68816,-73.97579,Entire home/apt,100,14,5,0.21,0
15872277,Room in Stuytown Apartment,Manhattan,Gramercy,40.73267,-73.98259,Private room,100,3,1,0.03,0
34508048,Bedstuy On 4th.,Brooklyn,Bedford-Stuyvesant,40.69091,-73.94514,Entire home/apt,115,30,4,2.35,133
19363396,Soho Downtown - Large Sunny Private Room!,Manhattan,SoHo,40.72635,-74.00298,Private room,94,1,1,0.04,0
25841768,"Entire Garden Level Home in Greenpoint, Brooklyn",Brooklyn,Greenpoint,40.72488,-73.94932,Entire home/apt,124,1,6,0.5,6
1965712,Lovely large 1-bdrm apt UWS,Manhattan,Upper West Side,40.78122,-73.98473,Entire home/apt,235,1,0,0.0,0
32611977,Mi casa es tu casa! Cozy & comfortable!,Bronx,Belmont,40.85505,-73.89238,Private room,40,2,28,6.72,84
4006264,Cozy Parkside 1 Bedroom Apartment,Manhattan,Harlem,40.80489,-73.95759,Entire home/apt,115,1,1,0.02,0
1496319,Private Huge 2br Williamsburg Artist Apartment!,Brooklyn,Williamsburg,40.71471,-73.94045,Entire home/apt,250,1,87,1.23,272
261259,Apartment in Best location in NYC,Manhattan,West Village,40.72953,-74.00462,Entire home/apt,145,7,11,0.12,0
9330884,"Downtown Manhattan, 2 Bedroom",Manhattan,Lower East Side,40.7225,-73.9894,Entire home/apt,200,3,0,0.0,0
30388668,"Well-appointed Tribeca Studio w/ Indoor pool, Gym by Blueground",Manhattan,Tribeca,40.71519,-74.00654,Entire home/apt,312,30,0,0.0,38
35881347,gorgeous bedroom near Yankee Stadium,Bronx,Concourse Village,40.82964,-73.91833,Private room,53,3,0,0.0,162
10593675,"La Spezia room.  Clean, quiet and comfortable bed",Brooklyn,Bensonhurst,40.60951,-73.97642,Shared room,79,1,15,0.43,180
5052495,Sunny Room in Historic Williamsburg Loft,Brooklyn,Williamsburg,40.70907,-73.96396,Private room,60,1,33,2.75,19
29617415,Spacious Manhattan room. Well lit! Always clean.,Manhattan,Harlem,40.81798,-73.94157,Private room,40,30,2,0.38,246
4824211,Bright Comfy Room in East Village,Manhattan,East Village,40.72503,-73.97696,Private room,70,2,5,0.14,0
6520350,The Kook House  - Rockaways BEST Summer House!!,Queens,Arverne,40.59399,-73.79693,Entire home/apt,300,1,67,1.34,344
2824329,Spacious Studio Loft in Brooklyn,Brooklyn,Greenpoint,40.7254,-73.94136,Entire home/apt,129,30,3,0.05,336
13763512,Classic Exposed Brick Apartment in East Village,Manhattan,East Village,40.7282,-73.98001,Private room,75,1,159,4.34,84
20227210,"Sunny one-bedroom apt., close to Prospect Park",Brooklyn,Prospect Heights,40.67635,-73.97113,Entire home/apt,124,2,9,0.39,0
12812618,Private room in Williamsburg,Brooklyn,Williamsburg,40.71279,-73.96291,Private room,80,2,6,0.16,0
19164752,Great 1 bedroom apartment in Manhattan,Manhattan,Washington Heights,40.84393,-73.93979,Entire home/apt,100,5,11,0.47,22
35662019,Cheap price near Timesquare,Manhattan,Hell's Kitchen,40.75625,-73.99357,Private room,63,31,0,0.0,250
29893519,the Perfect LES studio,Manhattan,Lower East Side,40.72207,-73.98726,Entire home/apt,99,1,11,1.46,0
32935986,Uniware( only for GUYS),Brooklyn,Gravesend,40.58527,-73.96871,Shared room,28,10,0,0.0,0
32445673,Sunny King-Sized Manhattan 1BR w/Views Awaits You!,Manhattan,East Harlem,40.81213,-73.93752,Entire home/apt,95,3,16,4.07,0
13098705,Big & Beautiful 1-BR w/Private Backyard,Manhattan,Harlem,40.81829,-73.94686,Entire home/apt,175,2,34,0.98,75
28661542,Gorgeous Bedroom in the heart of Bushwick Him-2R-2,Brooklyn,Bushwick,40.70126,-73.92077,Private room,55,35,2,0.3,365
22162572,1BED 1 BATH /UPPER WEST SIDE /Lincoln Center,Manhattan,Upper West Side,40.77605,-73.98833,Entire home/apt,190,30,4,0.63,363
16735801,Twin bed-Close to Columbia U & Central Park,Manhattan,Harlem,40.80172,-73.95538,Private room,100,1,226,7.75,32
21275075,Nolita/Soho Duplex Apartment with Rooftop,Manhattan,Nolita,40.72244,-73.99461,Entire home/apt,250,1,9,0.75,0
19891485,Cozy and Charming Private Room in Lower East Side,Manhattan,Lower East Side,40.7177,-73.98245,Private room,77,5,20,0.84,0
32549039,Penthouse full floor 4 bedroom apartment,Manhattan,Financial District,40.70436,-74.00927,Entire home/apt,500,5,16,3.78,298
13222964,Charming studio West Harlem / sleep three,Manhattan,Harlem,40.81162,-73.95046,Entire home/apt,100,1,5,0.13,0
